rank,profit_factor,total_return,sharpe_ratio,win_rate,max_drawdown,trade_count,stop_loss_atr_mult,take_profit_atr_mult,min_confidence,max_position_pct
1,1.1948,0.0037,0.4497,0.7619,0.016,21,1.0,2.0,0.62,0.015
2,1.1948,0.0037,0.4497,0.7619,0.016,21,1.0,3.0,0.62,0.015
3,1.1289,0.0018,0.3336,0.7391,0.0116,23,1.0,2.0,0.62,0.01
4,1.1289,0.0018,0.3336,0.7391,0.0116,23,1.0,3.0,0.62,0.01
5,0.9763,-0.0006,-0.0252,0.7568,0.0311,37,1.0,2.0,0.6,0.015
6,0.9763,-0.0006,-0.0252,0.7568,0.0311,37,1.0,3.0,0.6,0.015
7,0.9705,-0.0002,-0.0025,0.7391,0.0161,23,1.25,2.0,0.62,0.015
8,0.9705,-0.0002,-0.0025,0.7391,0.0161,23,1.25,3.0,0.62,0.015
9,0.9609,-0.0008,-0.0829,0.7436,0.0208,39,1.0,2.0,0.6,0.01
10,0.9609,-0.0008,-0.0829,0.7436,0.0208,39,1.0,3.0,0.6,0.01
11,0.8646,-0.001,-0.3018,0.7391,0.0078,23,1.0,2.0,0.62,0.005
12,0.8646,-0.001,-0.3018,0.7391,0.0078,23,1.0,3.0,0.62,0.005
13,0.8448,-0.0018,-0.3149,0.7391,0.0126,23,1.25,2.0,0.62,0.01
14,0.8448,-0.0018,-0.3149,0.7391,0.0126,23,1.25,3.0,0.62,0.01
15,0.8405,-0.0021,-0.5163,0.7436,0.0123,39,1.0,2.0,0.6,0.005
16,0.8405,-0.0021,-0.5163,0.7436,0.0123,39,1.0,3.0,0.6,0.005
17,0.8027,-0.0064,-0.5527,0.7436,0.0308,39,1.25,2.0,0.6,0.015
18,0.8027,-0.0064,-0.5527,0.7436,0.0308,39,1.25,3.0,0.6,0.015
19,0.7551,-0.0058,-0.7588,0.7436,0.0218,39,1.25,2.0,0.6,0.01
20,0.7551,-0.0058,-0.7588,0.7436,0.0218,39,1.25,3.0,0.6,0.01
21,0.6648,-0.0046,-1.1617,0.7436,0.0128,39,1.25,2.0,0.6,0.005
22,0.6648,-0.0046,-1.1617,0.7436,0.0128,39,1.25,3.0,0.6,0.005
23,0.6635,-0.0027,-0.8865,0.7391,0.0082,23,1.25,2.0,0.62,0.005
24,0.6635,-0.0027,-0.8865,0.7391,0.0082,23,1.25,3.0,0.62,0.005
25,0.5983,-0.0219,-1.8932,0.6727,0.0424,55,1.0,2.0,0.58,0.01
26,0.5983,-0.0219,-1.8932,0.6727,0.0424,55,1.0,3.0,0.58,0.01
27,0.5939,-0.0319,-1.8608,0.6792,0.0623,53,1.0,2.0,0.58,0.015
