rank,profit_factor,total_return,sharpe_ratio,win_rate,max_drawdown,trade_count,stop_loss_atr_mult,take_profit_atr_mult,min_confidence,max_position_pct
1,0.4591,-0.0565,-3.5707,0.5556,0.0666,54,1.0,2.0,0.6,0.01
2,0.4591,-0.0565,-3.5707,0.5556,0.0666,54,1.0,3.0,0.6,0.01
3,0.4591,-0.0565,-3.5707,0.5556,0.0666,54,1.0,4.0,0.6,0.01
4,0.4591,-0.0565,-3.5707,0.5556,0.0666,54,1.0,5.0,0.6,0.01
5,0.4149,-0.0914,-3.5951,0.566,0.0961,53,1.5,2.0,0.6,0.02
6,0.4149,-0.0914,-3.5951,0.566,0.0961,53,1.5,3.0,0.6,0.02
7,0.4149,-0.0914,-3.5951,0.566,0.0961,53,1.5,4.0,0.6,0.02
8,0.4149,-0.0914,-3.5951,0.566,0.0961,53,1.5,5.0,0.6,0.02
9,0.3687,-0.0522,-4.0219,0.5577,0.0538,52,1.5,2.0,0.6,0.01
10,0.3687,-0.0522,-4.0219,0.5577,0.0538,52,1.5,3.0,0.6,0.01
11,0.3687,-0.0522,-4.0219,0.5577,0.0538,52,1.5,4.0,0.6,0.01
12,0.3687,-0.0522,-4.0219,0.5577,0.0538,52,1.5,5.0,0.6,0.01
13,0.3404,-0.0845,-3.8499,0.549,0.0965,51,2.0,2.0,0.6,0.02
14,0.3404,-0.0845,-3.8499,0.549,0.0965,51,2.0,3.0,0.6,0.02
15,0.3404,-0.0845,-3.8499,0.549,0.0965,51,2.0,4.0,0.6,0.02
16,0.3404,-0.0845,-3.8499,0.549,0.0965,51,2.0,5.0,0.6,0.02
17,0.3379,-0.0447,-3.9182,0.549,0.0494,51,2.0,2.0,0.6,0.01
18,0.3379,-0.0447,-3.9182,0.549,0.0494,51,2.0,3.0,0.6,0.01
19,0.3379,-0.0447,-3.9182,0.549,0.0494,51,2.0,4.0,0.6,0.01
20,0.3379,-0.0447,-3.9182,0.549,0.0494,51,2.0,5.0,0.6,0.01
21,0.2876,-0.0869,-4.1031,0.549,0.0928,51,2.5,2.0,0.6,0.02
22,0.2876,-0.0869,-4.1031,0.549,0.0928,51,2.5,3.0,0.6,0.02
23,0.2876,-0.0869,-4.1031,0.549,0.0928,51,2.5,4.0,0.6,0.02
24,0.2876,-0.0869,-4.1031,0.549,0.0928,51,2.5,5.0,0.6,0.02
25,0.2865,-0.0455,-4.147,0.549,0.0474,51,2.5,2.0,0.6,0.01
26,0.2865,-0.0455,-4.147,0.549,0.0474,51,2.5,3.0,0.6,0.01
27,0.2865,-0.0455,-4.147,0.549,0.0474,51,2.5,4.0,0.6,0.01
28,0.2865,-0.0455,-4.147,0.549,0.0474,51,2.5,5.0,0.6,0.01
29,0.2808,-0.0774,-5.3361,0.4947,0.0783,95,2.5,2.0,0.55,0.01
30,0.2285,-0.0933,-6.3478,0.4842,0.0945,95,2.0,2.0,0.55,0.01
31,0.2285,-0.0933,-6.3478,0.4842,0.0945,95,2.0,3.0,0.55,0.01
32,0.2285,-0.0933,-6.3478,0.4842,0.0945,95,2.0,4.0,0.55,0.01
